ID,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
1097,23.1,66.2,30.0,36.4,16.2,5.2,1.07,17.1,210,Good
1626,19.8,66.7,9.0,13.3,14.5,2.7,0.94,11.0,374,Good
7867,34.6,79.8,7.5,14.6,27.8,18.1,1.63,5.4,542,Moderate
2550,31.4,59.1,5.6,10.8,21.0,2.9,0.96,10.5,442,Good
601,28.0,75.4,9.1,18.6,33.0,8.7,1.46,7.1,620,Moderate
2883,23.0,79.9,0.5,6.5,17.5,6.9,1.16,11.1,466,Good
6680,27.6,57.9,2.4,6.6,23.8,2.4,0.91,12.7,527,Good
5604,26.0,69.1,3.7,14.6,39.4,10.0,1.19,6.3,357,Moderate
589,36.2,103.6,10.6,29.6,29.5,11.8,1.72,5.5,747,Poor
9894,32.3,58.7,27.5,37.1,24.7,10.7,1.39,7.2,552,Moderate
1678,27.2,59.0,56.9,65.4,23.5,13.6,1.36,6.4,562,Moderate
4179,30.9,82.0,10.6,19.6,24.5,-0.3,1.45,5.5,503,Moderate
1118,25.9,67.0,0.5,5.2,19.5,5.4,0.94,11.3,310,Good
801,29.5,76.8,30.0,48.4,26.5,18.6,1.54,6.4,634,Moderate
7662,32.0,56.8,7.0,14.0,16.1,4.9,1.02,10.4,536,Good
6903,27.5,75.2,16.8,26.1,48.9,17.6,2.35,2.8,532,Poor
7443,38.2,92.2,22.8,40.2,31.6,1.1,1.23,5.2,559,Moderate
6190,30.8,62.5,23.5,39.7,40.6,3.5,2.2,4.6,656,Poor
974,33.8,80.4,2.7,12.2,21.4,16.8,1.66,7.2,486,Moderate
3250,20.8,78.1,3.5,10.9,21.9,7.3,1.03,10.3,488,Good
2580,29.6,56.9,4.5,17.5,20.2,10.5,1.47,11.1,258,Moderate
2932,24.2,60.2,1.7,8.0,16.5,8.8,0.89,13.8,416,Good
7088,27.0,72.2,4.1,11.1,26.6,2.8,1.14,12.0,508,Good
5874,27.9,46.6,26.0,30.4,25.0,0.3,0.97,11.3,538,Good
7884,33.9,73.9,16.8,23.1,22.0,7.7,1.69,7.5,408,Moderate
6874,42.5,90.0,14.7,25.8,26.1,22.3,1.76,3.7,544,Poor
3564,35.0,55.1,7.2,19.7,24.4,7.5,1.78,5.9,385,Moderate
5850,25.9,75.6,12.7,16.8,15.2,4.2,1.05,12.0,315,Good
676,33.0,91.7,13.0,25.7,30.4,16.2,1.74,3.8,495,Poor
4348,42.5,94.6,13.7,35.9,49.4,17.4,1.78,6.0,536,Poor
5125,24.8,60.4,12.2,15.5,14.5,3.1,0.92,10.8,349,Good
2126,16.4,65.2,7.8,9.0,26.1,2.7,0.85,11.1,393,Good
1966,29.5,68.9,13.6,21.1,22.5,-0.8,1.06,11.4,477,Good
8246,27.4,49.6,5.9,12.3,12.8,4.0,0.76,10.2,380,Good
1052,24.1,62.5,1.9,5.5,14.1,4.5,1.04,10.2,352,Good
6147,40.0,93.2,17.8,45.6,26.8,23.5,2.49,2.5,865,Hazardous
5038,23.0,45.0,7.0,12.3,20.3,4.4,0.79,12.3,449,Good
2396,24.4,66.7,1.8,7.6,15.9,4.1,0.99,11.2,347,Good
9954,26.6,49.1,10.6,16.5,10.6,9.0,1.02,10.6,491,Good
91,25.4,45.4,1.5,6.9,17.6,9.2,1.01,11.7,308,Good
987,17.4,48.4,8.6,14.5,14.2,7.1,1.11,11.0,399,Good
9007,21.0,82.4,8.8,13.8,22.1,6.2,1.05,10.7,372,Good
2830,35.4,90.1,3.3,14.6,48.6,21.1,2.04,3.3,775,Poor
4301,33.1,76.6,14.2,24.0,23.4,10.0,1.89,5.5,605,Moderate
5005,23.2,54.0,0.1,8.9,13.4,8.7,1.09,10.3,460,Good
5638,33.5,84.2,7.5,20.4,33.3,4.0,1.65,7.2,412,Moderate
4023,27.6,65.2,2.6,8.7,24.8,4.2,0.93,11.0,458,Good
1869,30.1,69.2,3.5,9.4,26.8,5.9,1.03,11.5,256,Good
8248,34.6,72.8,0.6,9.2,28.4,10.5,1.34,8.9,640,Moderate
6681,29.7,73.0,2.1,5.2,15.3,5.4,1.05,10.6,319,Good
672,26.8,71.2,0.3,7.6,12.1,4.0,0.98,11.4,292,Good
4514,25.5,41.9,14.3,18.9,23.6,4.4,1.03,13.3,267,Good
3950,39.1,73.6,54.7,68.3,22.8,19.5,1.85,5.3,751,Moderate
6220,33.5,69.5,11.9,34.1,32.9,4.8,1.23,8.7,694,Moderate
5017,36.5,102.8,87.9,97.4,38.2,14.5,2.89,3.5,629,Hazardous
9757,38.3,70.7,35.0,50.4,37.3,9.6,1.91,5.2,412,Moderate
6520,45.7,94.2,98.5,110.9,40.5,26.3,1.71,3.3,699,Hazardous
5305,36.1,69.1,5.5,16.0,34.7,11.9,1.52,6.2,601,Moderate
3872,27.4,68.0,11.9,17.5,12.7,7.8,0.93,12.8,481,Good
6102,28.1,46.1,6.5,12.7,25.7,2.7,0.96,11.8,586,Good
4353,22.9,59.9,1.9,9.7,14.4,6.3,1.03,11.4,512,Good
7548,27.3,66.6,36.1,36.7,24.3,4.2,1.11,17.5,407,Good
